Scenario_ID,Regulation,Source,Query,Expected_Category,Expected_Answer,Expected_Source,Key_Compliance_Keywords
S001,FICA,Section 21,Must a bank verify a customer's identity before opening an account?,KYC,Yes. An accountable institution must establish and verify the customer’s identity before establishing a business relationship.,FICA Section 21,identity verification;customer onboarding;business relationship
S002,FICA,Section 21,Can a business relationship be established before customer verification is completed?,KYC,"No. Customer identity must be established and verified before the institution creates or continues a business relationship, unless a legally permitted risk-based exception applies.",FICA Section 21,verification before onboarding;business relationship;KYC
S003,FICA,Section 21,What documents are acceptable for customer identity verification?,KYC,"Customer identity should be verified using reliable and independent source documents, data or information appropriate to the customer type.",FICA Section 21,reliable source;independent verification;identity documents
S004,FICA,Section 21,Is independent verification required when onboarding customers?,KYC,Yes. Verification should rely on reliable and independent sources to confirm the identity information provided by the customer.,FICA Section 21,independent source;verification;onboarding
S005,FICA,Section 21,Can electronic verification methods be used for customer identification?,KYC,"Yes, provided the electronic verification method is reliable, risk-appropriate and capable of verifying the customer’s identity using credible source information.",FICA Section 21,electronic verification;reliable source;risk-based
S006,FICA,Section 21A,When should enhanced due diligence be applied?,CDD,"Enhanced due diligence should be applied where the customer, product, transaction, delivery channel or jurisdiction presents a higher money laundering or terrorist financing risk.",FICA Section 21A,enhanced due diligence;high risk;CDD
S007,FICA,Section 21A,Are additional checks required for high-risk customers?,CDD,"Yes. High-risk customers require additional due diligence measures, closer scrutiny and risk-based monitoring.",FICA Section 21A,high-risk customer;additional checks;monitoring
S008,FICA,Section 21A,How should institutions handle politically exposed persons?,CDD,"Politically exposed persons should be subject to enhanced due diligence, senior management approval where required, and ongoing monitoring due to elevated risk.",FICA Section 21A,PEP;enhanced due diligence;senior management approval
S009,FICA,Section 21A,What additional information must be obtained for high-risk clients?,CDD,"The institution should obtain additional information on the customer, beneficial owner, source of funds, source of wealth and purpose of the business relationship.",FICA Section 21A,source of funds;source of wealth;beneficial owner
S010,FICA,Section 21A,Does FICA require ongoing monitoring of high-risk customers?,CDD,Yes. High-risk relationships should be monitored on an ongoing basis to detect unusual or suspicious activity.,FICA Section 21A,ongoing monitoring;high risk;suspicious activity
S011,FICA,Section 29,When must suspicious transactions be reported to the FIC?,AML,"A suspicious or unusual transaction must be reported when the institution knows or suspects that it may relate to unlawful activity, money laundering or terrorist financing.",FICA Section 29,suspicious transaction;reporting;FIC
S012,FICA,Section 29,What constitutes a suspicious transaction under FICA?,AML,"A transaction is suspicious where it appears unusual, lacks lawful purpose, is inconsistent with customer profile, or raises suspicion of unlawful activity.",FICA Section 29,unusual transaction;unlawful activity;suspicion
S013,FICA,Section 29,Must attempted suspicious transactions be reported?,AML,Yes. Attempted suspicious transactions should also be reported where the circumstances give rise to suspicion.,FICA Section 29,attempted transaction;suspicious;reporting
S014,FICA,Section 29,Is customer consent required before filing a suspicious transaction report?,AML,"No. Customer consent is not required before filing a suspicious transaction report, and disclosure to the customer may create tipping-off risk.",FICA Section 29,no consent;tipping off;STR
S015,FICA,Section 29,What reporting timelines apply to suspicious transaction reports?,AML,Suspicious transaction reports must be submitted to the FIC within the prescribed regulatory timeframe after suspicion is formed.,FICA Section 29,reporting timeframe;FIC;STR
S016,FICA,Section 42,Must accountable institutions implement a Risk Management and Compliance Programme?,Governance,"Yes. Accountable institutions must develop, document, maintain and implement a Risk Management and Compliance Programme.",FICA Section 42,RMCP;compliance programme;risk management
S017,FICA,Section 42,What should be included in a Risk Management and Compliance Programme?,Governance,"The programme should describe controls for customer due diligence, risk rating, recordkeeping, reporting, governance, monitoring and staff compliance responsibilities.",FICA Section 42,RMCP;controls;recordkeeping;reporting
S018,FICA,Section 42,How frequently should compliance controls be reviewed?,Governance,"Compliance controls should be reviewed regularly and updated when risk, regulatory obligations or business processes change.",FICA Section 42,review;controls;updates
S019,FICA,Section 42,Must institutions document AML compliance procedures?,Governance,Yes. AML compliance procedures should be documented within the institution’s Risk Management and Compliance Programme.,FICA Section 42,documented procedures;AML;RMCP
S020,FICA,Section 42,Who is responsible for overseeing compliance programmes?,Governance,Senior management and designated compliance functions are responsible for ensuring effective implementation and oversight of the compliance programme.,FICA Section 42,senior management;oversight;compliance function
