"Scenario_ID,Regulation,Source,Query,Expected_Category"
"S001,FICA,Section 21,Must a bank verify a customer's identity before opening an account?,KYC"
"S002,FICA,Section 21,Can a business relationship be established before customer verification is completed?,KYC"
"S003,FICA,Section 21,What documents are acceptable for customer identity verification?,KYC"
"S004,FICA,Section 21,Is independent verification required when onboarding customers?,KYC"
"S005,FICA,Section 21,Can electronic verification methods be used for customer identification?,KYC"
"S006,FICA,Section 21A,When should enhanced due diligence be applied?,CDD"
"S007,FICA,Section 21A,Are additional checks required for high-risk customers?,CDD"
"S008,FICA,Section 21A,How should institutions handle politically exposed persons?,CDD"
"S009,FICA,Section 21A,What additional information must be obtained for high-risk clients?,CDD"
"S010,FICA,Section 21A,Does FICA require ongoing monitoring of high-risk customers?,CDD"
"S011,FICA,Section 29,When must suspicious transactions be reported to the FIC?,AML"
"S012,FICA,Section 29,What constitutes a suspicious transaction under FICA?,AML"
"S013,FICA,Section 29,Must attempted suspicious transactions be reported?,AML"
"S014,FICA,Section 29,Is customer consent required before filing a suspicious transaction report?,AML"
"S015,FICA,Section 29,What reporting timelines apply to suspicious transaction reports?,AML"
"S016,FICA,Section 42,Must accountable institutions implement a Risk Management and Compliance Programme?,Governance"
"S017,FICA,Section 42,What should be included in a Risk Management and Compliance Programme?,Governance"
"S018,FICA,Section 42,How frequently should compliance controls be reviewed?,Governance"
"S019,FICA,Section 42,Must institutions document AML compliance procedures?,Governance"
"S020,FICA,Section 42,Who is responsible for overseeing compliance programmes?,Governance"
"S021,FATF,Recommendation 10,When is customer due diligence required?,CDD"
"S022,FATF,Recommendation 10,Must customer identity be verified using reliable sources?,CDD"
"S023,FATF,Recommendation 10,When should beneficial ownership information be obtained?,CDD"
"S024,FATF,Recommendation 10,Should customer information be kept up to date?,CDD"
"S025,FATF,Recommendation 10,Can simplified due diligence be applied in low-risk cases?,CDD"
"S026,FATF,Recommendation 11,How long should customer records be retained?,RecordKeeping"
"S027,FATF,Recommendation 11,Must transaction records be maintained for regulatory review?,RecordKeeping"
"S028,FATF,Recommendation 11,Should customer identification records be retained after account closure?,RecordKeeping"
"S029,FATF,Recommendation 11,What records must be available to competent authorities?,RecordKeeping"
"S030,FATF,Recommendation 11,Can records be stored electronically?,RecordKeeping"
"S031,FATF,Recommendation 20,When must suspicious transactions be reported?,AML"
"S032,FATF,Recommendation 20,Should attempted suspicious transactions be reported?,AML"
"S033,FATF,Recommendation 20,Can reporting obligations be waived due to client confidentiality?,AML"
"S034,FATF,Recommendation 20,Who receives suspicious transaction reports?,AML"
"S035,FATF,Recommendation 20,What indicators trigger suspicious transaction reporting?,AML"
"S036,Basel III,CET1,What is the minimum Common Equity Tier 1 ratio requirement?,CapitalAdequacy"
"S037,Basel III,CET1,How is CET1 capital calculated?,CapitalAdequacy"
"S038,Basel III,CET1,Can retained earnings be included in CET1 capital?,CapitalAdequacy"
"S039,Basel III,CET1,What assets are deducted from CET1 capital?,CapitalAdequacy"
"S040,Basel III,CET1,How does CET1 support financial stability?,CapitalAdequacy"
"S041,Basel III,Capital Buffer,What is the purpose of the Capital Conservation Buffer?,CapitalBuffer"
"S042,Basel III,Capital Buffer,When can banks draw down capital buffers?,CapitalBuffer"
"S043,Basel III,Capital Buffer,What restrictions apply when capital buffers are breached?,CapitalBuffer"
"S044,Basel III,Capital Buffer,What is the Countercyclical Capital Buffer?,CapitalBuffer"
"S045,Basel III,Capital Buffer,Who determines countercyclical buffer levels?,CapitalBuffer"
"S046,Basel III,LCR,What is the Liquidity Coverage Ratio?,Liquidity"
"S047,Basel III,LCR,What assets qualify as high-quality liquid assets?,Liquidity"
"S048,Basel III,LCR,What is the minimum Liquidity Coverage Ratio requirement?,Liquidity"
"S049,Basel III,LCR,How does the LCR improve banking resilience?,Liquidity"
"S050,Basel III,LCR,How often should liquidity positions be monitored?,Liquidity"
"S051,SARB,Prudential Standard,How should banks assess money laundering risk?,Prudential"
"S052,SARB,Prudential Standard,What governance structures support AML compliance?,Prudential"
"S053,SARB,Prudential Standard,Must banks maintain independent compliance functions?,Prudential"
"S054,SARB,Prudential Standard,How should compliance breaches be escalated?,Prudential"
"S055,SARB,Prudential Standard,What role does senior management play in AML governance?,Prudential"
"S056,SARB,Prudential Standard,How often should AML controls be reviewed?,Prudential"
"S057,SARB,Prudential Standard,Must banks perform enterprise-wide risk assessments?,Prudential"
"S058,SARB,Prudential Standard,How should high-risk customers be monitored?,Prudential"
"S059,SARB,Prudential Standard,What documentation is required during regulatory inspections?,Prudential"
"S060,SARB,Prudential Standard,How should compliance training programmes be implemented?,Prudential"
"S061,FSCA,Conduct Standard,How should customer interests be protected?,Conduct"
"S062,FSCA,Conduct Standard,What disclosures must be provided to customers?,Conduct"
"S063,FSCA,Conduct Standard,How should complaints be managed?,Conduct"
"S064,FSCA,Conduct Standard,What records must be maintained for customer interactions?,Conduct"
"S065,FSCA,Conduct Standard,How should conflicts of interest be managed?,Conduct"
"S066,FSCA,Conduct Standard,What governance mechanisms support fair treatment of customers?,Conduct"
"S067,FSCA,Conduct Standard,How should product suitability be assessed?,Conduct"
"S068,FSCA,Conduct Standard,What reporting obligations exist for conduct breaches?,Conduct"
"S069,FSCA,Conduct Standard,How should vulnerable customers be protected?,Conduct"
"S070,FSCA,Conduct Standard,What role does compliance monitoring play in conduct risk management?,Conduct"
"S071,POPIA,Section 19,What security measures must protect personal information?,DataProtection"
"S072,POPIA,Section 19,How should organisations prevent unauthorised access to personal data?,DataProtection"
"S073,POPIA,Section 19,What technical controls support information security?,DataProtection"
"S074,POPIA,Section 20,Who is responsible for compliance with POPIA requirements?,DataProtection"
"S075,POPIA,Section 20,Can responsibility for POPIA compliance be delegated?,DataProtection"
"S076,POPIA,Section 20,What accountability obligations apply to responsible parties?,DataProtection"
"S077,POPIA,Section 22,When must a data breach be reported?,DataProtection"
"S078,POPIA,Section 22,Who must be notified following a data breach?,DataProtection"
"S079,POPIA,Section 22,What information should be included in a breach notification?,DataProtection"
"S080,POPIA,Section 22,How quickly should data breaches be communicated?,DataProtection"
"S081,AML,Operational,Should a cash deposit exceeding internal thresholds trigger review?,AML"
"S082,AML,Operational,Must unusual cross-border transactions be investigated?,AML"
"S083,AML,Operational,How should structuring behaviour be handled?,AML"
"S084,AML,Operational,Should transactions involving sanctioned entities be escalated?,AML"
"S085,AML,Operational,Must high-risk jurisdictions trigger enhanced monitoring?,AML"
"S086,AML,Operational,Should repeated small transactions be aggregated for review?,AML"
"S087,AML,Operational,What action should follow detection of suspicious behaviour?,AML"
"S088,AML,Operational,Must politically exposed persons receive enhanced scrutiny?,AML"
"S089,AML,Operational,How should beneficial ownership risks be assessed?,AML"
"S090,AML,Operational,When should suspicious activity reports be filed?,AML"
"S091,KYC,Operational,Can a customer account be opened without proof of identity?,KYC"
"S092,KYC,Operational,Must beneficial ownership be established for corporate customers?,KYC"
"S093,KYC,Operational,How often should customer information be updated?,KYC"
